:START_ID,:END_ID,:TYPE,chunk
332,135,采用,1
156,223,采用,1
240,345,进行,1
323,240,属于,1
201,240,属于,1
395,240,属于,1
452,240,属于,1
514,240,属于,1
265,240,属于,1
388,239,属于,1
408,239,属于,1
313,239,属于,1
466,239,属于,1
192,239,属于,1
339,239,属于,1
217,239,属于,1
311,239,属于,1
318,482,属于,1
314,482,属于,1
399,482,属于,1
278,482,属于,1
153,482,属于,1
414,482,属于,1
122,482,属于,1
221,482,属于,1
308,482,属于,1
463,482,属于,1
240,332,包含,2
450,333,涉及,2
240,332,流经,2
324,4,设计标准为,3
324,33,校核标准为,3
324,48,汛限水位为,3
324,49,正常蓄水位为,3
324,51,设计洪水位为,3
324,52,校核洪水位为,3
324,30,总库容为,3
202,4,设计标准为,3
202,33,校核标准为,3
202,29,汛限水位为,3
202,34,正常蓄水位为,3
202,35,设计洪水位为,3
202,38,校核洪水位为,3
202,1,总库容为,3
396,89,设计标准为,3
396,3,校核标准为,3
396,28,汛限水位为,3
396,32,正常蓄水位为,3
396,39,设计洪水位为,3
396,44,校核洪水位为,3
396,11,总库容为,3
453,120,未进行,3
453,349,考虑,3
453,357,避免,3
453,12,汛限水位为,3
259,494,正在进行,3
259,15,汛限水位为,3
453,119,未验收,4
453,368,泄洪,4
368,218,错峰,4
259,494,进行加固,4
388,100,长度为,4
283,261,位于,5
283,510,延伸至,4
204,260,位于,5
204,499,延伸至,4
344,41,设计标准,4
487,78,相应流量,4
489,47,相应流量,4
487,63,现状行洪能力,4
489,3,现状行洪能力,4
388,414,流经,5
283,510,连接,5
204,499,连接,5
344,41,设计标准为,5
421,488,为,5
421,490,为,5
405,488,为,5
405,490,为,5
491,183,位于,5
491,465,连接,5
283,447,位于,5
283,509,连接,5
204,446,位于,5
204,511,连接,5
421,27,为,5
405,104,为,5
339,158,流经,5
283,310,位于,5
283,269,连接,5
204,448,位于,5
204,270,连接,5
421,71,为,5
405,3,为,5
339,140,流经,6
339,158,位于,6
283,79,长度为,6
204,96,长度为,6
339,41,设计标准为,6
339,71,相应流量为,6
339,3,现状行洪能力为,6
217,126,流经,6
283,40,长度为,6
204,57,长度为,6
217,8,设计流量为,6
217,64,现状流量为,6
217,104,现状流量为,6
311,505,流经,6
283,45,长度为,6
204,46,长度为,6
311,41,设计标准为,7
311,70,相应流量为,7
311,10,现状流量为,7
311,53,现状流量为,7
311,369,流经,7
311,262,流经,7
283,370,位于,7
283,264,连接,7
204,370,位于,7
204,263,连接,7
466,498,流经,7
466,305,流经,7
283,500,位于,7
283,306,连接,7
204,500,位于,7
204,307,连接,7
466,41,设计标准为,7
466,47,设计流量为,7
466,58,设计流量为,7
466,60,现状行洪能力为,7
192,267,流经,7
192,507,流经,7
192,271,流经,7
283,268,位于,7
283,508,连接,7
204,268,位于,7
204,272,连接,7
192,41,设计标准为,7
192,33,设计流量为,7
192,70,设计流量为,7
192,456,现状行洪能力为,7
192,179,位于,16
192,314,连接,8
192,41,设计标准,8
140,33,设计流量,8
139,70,设计流量,8
192,473,现状行洪能力,8
408,136,位于,8
408,315,连接,8
408,41,设计标准,8
408,67,相应流量,8
408,33,现状行洪能力,8
313,178,是,8
313,315,连接,8
313,484,连接,8
313,41,设计标准,8
313,88,相应流量,8
313,53,现状行洪能力,8
313,177,连接,9
313,122,连接,9
315,65,长度为,9
284,62,长度为,9
209,66,长度为,9
237,24,长度为,9
237,429,属于,9
237,427,属于,9
319,83,由...组成,10
319,54,由...组成,10
319,440,由...组成,10
319,464,由...组成,10
83,80,设计泄量为,10
54,23,设计泄量为,10
464,75,设计泄量为,10
319,58,总泄洪能力为,10
314,164,由...组成,10
314,372,由...组成,10
314,407,由...组成,10
314,435,由...组成,10
164,16,校核水位为,10
372,16,校核水位为,10
164,5,设计泄量为,10
372,74,设计泄量为,10
314,88,总泄洪量为,10
314,164,包含,11
314,372,包含,11
314,407,包含,11
314,435,包含,11
164,16,水位为,11
372,16,水位为,11
314,88,泄洪量为,11
164,5,泄洪量为,11
372,74,泄洪量为,11
398,281,类型为,11
398,291,闸型为,11
398,6,孔数为,11
398,103,水位为,11
398,13,流量为,11
443,481,属于,11
122,238,汇入,12
122,364,汇入,12
122,124,位于,12
122,189,位于,12
122,73,面积为,12
122,121,启用标准为,12
122,90,设计运用标准为,12
122,93,设计水位为,12
122,9,滞洪量为,12
308,245,承接,13
308,366,承接,13
308,438,位于,12
308,188,位于,12
308,257,位于,13
308,352,位于,12
308,18,面积为,12
308,41,启用标准为,13
308,90,设计运用标准为,13
308,87,设计水位为,12
308,69,滞洪量为,13
308,437,位于,13
308,187,位于,13
308,351,位于,13
308,87,水位为,13
308,18,总面积为,13
308,300,位于,13
463,256,位于,13
463,117,位于,13
463,41,启用标准为,13
463,90,设计运用标准为,13
463,87,水位为,13
463,20,滞洪量为,13
463,109,总面积为,13
463,300,位于,13
414,243,属于,14
414,434,功能为,13
414,375,功能为,13
414,187,周边堤防东有,13
414,312,周边堤防北有,13
414,496,周边堤防西有,13
414,219,周边堤防西有,13
414,361,周边堤防南有,13
414,36,堤防总长为,13
414,7,启用标准为,13
414,90,设计运用标准为,13
414,105,水位为,13
414,72,滞洪面积为,13
414,2,滞洪量为,13
414,110,分洪后滞洪总面积为,13
414,42,分洪后滞洪量为,13
414,187,连接,14
414,312,连接,14
414,496,连接,14
414,219,连接,14
414,361,连接,14
414,230,具有,14
414,404,具有,14
414,458,具有,14
413,105,设计水位,14
414,379,具有,14
414,376,具有,14
414,163,具有,14
155,408,由,14
155,192,由,14
155,403,具有,14
155,458,具有,14
155,21,设计水位,14
155,378,具有,14
155,297,具有,14
278,172,跨区域,14
278,343,跨区域,14
278,171,位于,15
278,335,东至,14
278,280,西至,14
278,203,南至,15
278,279,南至,15
278,404,具有,14
278,458,具有,14
278,56,设计水位,14
278,377,具有,14
278,298,具有,14
278,301,具有,14
278,172,地跨,15
278,343,地跨,15
276,335,东以,15
278,280,西以,15
278,92,现状启用标准,15
278,90,设计运用标准,15
278,56,设计滞洪水位,15
278,31,相应滞洪量,15
278,68,总面积,15
278,37,境内面积,15
240,115,采用,15
328,115,审核批准,15
240,133,包含,15
240,451,设计洪水,15
238,414,位于,16
238,43,控制面积为,16
238,114,设计值为,16
238,112,设计值为,16
238,113,设计值为,16
192,82,控制面积为,16
192,111,设计值为,16
192,114,设计值为,16
192,112,设计值为,16
192,113,设计值为,16
408,129,位于,16
408,82,控制面积为,16
408,111,设计值为,16
408,114,设计值为,16
408,112,设计值为,16
408,113,设计值为,16
303,295,位于,16
303,82,控制面积为,16
303,111,设计值为,16
303,114,设计值为,16
303,112,设计值为,16
303,113,设计值为,16
249,480,保障防洪安全,16
502,480,保障防洪安全,16
145,480,保障防洪安全,16
138,480,保障防洪安全,16
137,480,保障防洪安全,16
141,480,保障防洪安全,16
316,480,保障防洪安全,16
143,480,保障防洪安全,16
231,480,保障防洪安全,16
142,480,保障防洪安全,16
353,480,保障防洪安全,16
195,480,保障防洪安全,16
191,480,保障防洪安全,16
249,457,确保防洪安全,17
502,457,确保防洪安全,17
145,457,确保防洪安全,17
138,457,确保防洪安全,17
137,457,确保防洪安全,17
141,457,确保防洪安全,17
316,457,确保防洪安全,17
143,457,确保防洪安全,17
231,457,确保防洪安全,17
353,457,确保防洪安全,17
195,457,确保防洪安全,17
191,457,确保防洪安全,17
477,457,确保安全,17
324,457,发挥拦洪错峰作用,17
202,457,发挥拦洪错峰作用,17
396,457,发挥拦洪错峰作用,17
453,457,发挥拦洪错峰作用,17
515,457,发挥拦洪错峰作用,17
266,457,发挥拦洪错峰作用,17
388,457,发挥泄洪能力,17
192,457,发挥泄洪能力,17
408,457,发挥泄洪能力,17
313,457,发挥泄洪能力,17
466,457,发挥泄洪能力,17
278,457,运用蓄滞洪水,17
153,457,运用蓄滞洪水,17
414,457,运用蓄滞洪水,17
122,457,运用蓄滞洪水,17
221,457,运用蓄滞洪水,17
308,457,运用蓄滞洪水,17
463,457,运用蓄滞洪水,17
483,457,减少淹没损失,17
388,182,保证水位为,19
388,486,保证水位为,19
388,128,保证水位为,19
492,25,超过,18
491,160,用于,18
491,160,扩大分洪范围,18
330,26,上涨超过,18
389,442,分洪位置为,18
160,336,导致,18
302,190,确保,18
181,59,保证水位为,19
485,26,保证水位为,19
127,19,保证水位为,19
491,493,用于分洪,19
491,162,扩大分洪范围,19
389,331,分洪,19
187,302,确保安全,19
466,322,保证水位为,19
466,401,保证水位为,19
322,102,保证水位为,19
400,101,保证水位为,19
467,320,用于分洪,19
319,460,属于,19
416,95,水位为,20
416,95,水位超过,20
416,472,预报有,20
320,347,调度,20
414,130,水位为,20
83,347,调度,20
414,131,水位为,20
54,348,调度,20
414,97,水位超过,20
464,371,调度,20
416,337,控制,21
416,94,设定,21
416,337,超过,21
321,348,开启,21
416,106,达到,21
319,168,充分泄洪,21
186,362,扒开,21
186,497,扒开,21
186,220,扒开,21
186,210,扒开,21
215,168,充分运用,21
186,106,超过,21
398,212,运用,21
185,107,达到,21
312,480,危及,21
417,273,扒开,21
417,308,分洪至,21
193,50,保证水位为,22
193,70,相应流量为,22
471,151,触发,22
251,211,导致,22
211,206,保障,22
193,50,水位为,23
193,70,流量为,23
193,229,威胁,23
285,153,分洪,23
410,56,水位为,23
410,33,流量为,23
410,229,威胁,23
208,153,分洪,23
205,153,分洪,23
207,153,分洪,23
279,153,分洪,23
313,165,水位为,23
313,354,水位为,23
313,167,水位为,23
391,17,设计标准为,23
391,104,现状标准为,23
313,14,水位为,24
164,14,水位为,24
354,11,水位为,24
166,108,水位为,24
391,17,原设计标准为,24
391,104,现状保证标准为,24
244,317,未实施规划标准,24
326,391,超过,24
390,439,行洪方式为,24
289,358,提前做好,24
244,304,按规划实施,24
313,17,流量达到,24
330,392,仍上涨,24
392,200,参加泄洪,24
289,235,及时扒除,24
416,98,水位为,25
177,414,不分洪入,25
356,313,下泄,25
176,84,小于,25
415,420,视,25
294,406,利用,25
406,414,引水,25
122,161,属于,25
463,161,属于,25
308,161,属于,25
277,161,属于,25
468,99,来水,26
234,122,用于泄洪,26
286,292,属于,26
309,292,属于,26
292,356,引蓄,26
367,356,被引蓄,26
506,356,被引蓄,26
214,356,被引蓄,26
350,99,超过,26
469,122,用于分洪,26
468,99,来水小于,27
431,93,水位为,30
432,252,上涨,28
478,463,分洪,28
247,87,水位为,29
248,160,上涨,28
308,149,被运用,29
478,474,被调度,29
479,476,被扒开,29
478,463,分洪至,29
419,149,被运用,29
184,105,水位为,30
398,474,被调度,29
398,308,分洪至,29
419,414,位于,30
398,308,调度,30
238,431,流经,30
398,250,调度,30
381,308,扒开,30
463,308,调度,30
152,87,水位为,30
381,308,破开,30
463,148,被运用,31
152,86,水位达到,31
