:ID,name,:LABEL
1,10.05,Entity
2,10.10,Entity
3,10.34亿立方米,Entity
4,10.50,Entity
5,10.67,Entity
6,10.70,Entity
7,10.97,Entity
8,1000-1100,Entity
9,1036立方米每秒,Entity
10,11.84,Entity
11,11.93,Entity
12,1100,Entity
13,12.00,Entity
14,12.11,Entity
15,12.23,Entity
16,12.30,Entity
17,12.50,Entity
18,12.80,Entity
19,13.30,Entity
20,13.60,Entity
21,13.80,Entity
22,1380立方米每秒,Entity
23,14.10,Entity
24,14.57,Entity
25,14.60,Entity
26,1475平方公里,Entity
27,150立方米每秒,Entity
28,1556平方公里,Entity
29,16.89亿立方米,Entity
30,17.60,Entity
31,17.95,Entity
32,18.44,Entity
33,18.50,Entity
34,1840立方米每秒,Entity
35,189公里,Entity
36,19.70,Entity
37,20.12,Entity
38,20.20,Entity
39,20.97,Entity
40,2000,Entity
41,20年一遇,Entity
42,21.00,Entity
43,21.20,Entity
44,21.31,Entity
45,22.01,Entity
46,2260-2600,Entity
47,24.07,Entity
48,24.10,Entity
49,25.47,Entity
50,25.50,Entity
51,25.60,Entity
52,25.78亿立方米,Entity
53,25.84,Entity
54,2500,Entity
55,25孔闸,Entity
56,26.50,Entity
57,265平方公里,Entity
58,27.11,Entity
59,27.95,Entity
60,2700立方米每秒,Entity
61,28.20,Entity
62,28.32,Entity
63,29.23,Entity
64,29.50米,Entity
65,29.70,Entity
66,3.21亿立方米,Entity
67,30.23,Entity
68,300,Entity
69,3000,Entity
70,31.24,Entity
71,31.65,Entity
72,3300立方米每秒,Entity
73,34.63亿立方米,Entity
74,379平方公里,Entity
75,38.54亿立方米,Entity
76,3964立方米每秒,Entity
77,40.40,Entity
78,400立方米每秒,Entity
79,42.96亿立方米,Entity
80,44.80,Entity
81,460立方米每秒,Entity
82,48.20,Entity
83,4孔闸,Entity
84,5.67亿立方米,Entity
85,5000,Entity
86,5000立方米每秒,Entity
87,50年一遇,Entity
88,6.44,Entity
89,6.44米,Entity
90,6.57,Entity
91,6.71,Entity
92,60.80,Entity
93,61.15,Entity
94,64.20,Entity
95,65.68,Entity
96,7.50米,Entity
97,7.88米,Entity
98,8.00,Entity
99,8.00米,Entity
100,8.88,Entity
101,8.90米,Entity
102,800,Entity
103,800立方米每秒,Entity
104,9.00,Entity
105,9.00米,Entity
106,900立方米每秒,Entity
107,三河,Entity
108,上游来量,Entity
109,上游来量不小于900立方米每秒,Entity
110,上级备案,Entity
111,上级水利部门,Entity
112,上级水利部门备案,Entity
113,不足5年一遇,Entity
114,东淀北大堤,Entity
115,东茨村,Entity
116,中游洼地,Entity
117,临清桥,Entity
118,京九铁路,Entity
119,保东淀围堤,Entity
120,保两堤,Entity
121,元村,Entity
122,全省分区防守、分流入海的第三道防线,Entity
123,兰沟洼,Entity
124,其余闸、坝的调度,Entity
125,分洪,Entity
126,分洪道两堤,Entity
127,分洪闸,Entity
128,北三河,Entity
129,北中山,Entity
130,北京,Entity
131,北河店,Entity
132,北运河,Entity
133,北郭村,Entity
134,十方院,Entity
135,千里堤,Entity
136,千里堤、新安北堤、四门堤、淀南新堤、障水埝,Entity
137,千里堤安全,Entity
138,南拒马河,Entity
139,南运河,Entity
140,南陶,Entity
141,卢沟桥下,Entity
142,卫河,Entity
143,卫运河,Entity
144,吴村,Entity
145,吴桥小天罡引水闸以下至岔河汇流处左堤,Entity
146,吴桥闸,Entity
147,周官屯,Entity
148,四女寺至捷地两堤,Entity
149,四女寺节制闸下,Entity
150,四女寺闸上,Entity
151,四门堤,Entity
152,固安大桥,Entity
153,国家防总决定,Entity
154,国家防汛抗旱总指挥部,Entity
155,土门楼以上两堤,Entity
156,土门楼分洪闸下,Entity
157,土门楼闸上,Entity
158,大沽,Entity
159,大清河,Entity
160,大清河超标准分洪洪水和清南地区沥水,Entity
161,大王铺至大麻湾左堤,Entity
162,大罗屯渡漕,Entity
163,姚庄,Entity
164,子牙河,Entity
165,宁晋泊,Entity
166,小定府,Entity
167,小河口,Entity
168,小清河,Entity
169,岸墙式水闸,Entity
170,工程管理部门同级水利部门,Entity
171,工程管理部门同级水利部门负责,Entity
172,廊坊、沧州市、雄安新区防指负责实施,Entity
173,开敞式,Entity
174,引沟入潮,Entity
175,徐万仓,Entity
176,我省4条确保堤防之一,Entity
177,捷地至九宣闸两堤,Entity
178,捷地闸上,Entity
179,文安洼,Entity
180,新安北堤,Entity
181,新安北堤、四门堤、淀南新堤、障水埝,Entity
182,新盖房枢纽,Entity
183,新老两河,Entity
184,梁各庄以上两堤和以下护路堤,Entity
185,水位,Entity
186,水位低于13.47米时,Entity
187,水利部同意,Entity
188,水利部海委提出意见,Entity
189,永定河,Entity
190,沟河,Entity
191,沧州市组织任丘市实施,Entity
192,河北省商水利部海委提出意见,Entity
193,河道的调度运用,Entity
194,沿途相关市县组织实施,Entity
195,津保公路为界,Entity
196,海口挡潮闸上,Entity
197,海河防总提出意见,Entity
198,淀南新堤,Entity
199,溢流堰,Entity
200,滏阳新河,Entity
201,滏阳河,Entity
202,滦河,Entity
203,滹沱河,Entity
204,漳卫南运河,Entity
205,漳卫新河,Entity
206,漳河,Entity
207,潮白河,Entity
208,潴龙河,Entity
209,潴龙河分洪,Entity
210,潴龙河千里堤及陈村以上左堤,Entity
211,狼儿窝以上两堤,Entity
212,献县枢纽闸上,Entity
213,献县至坝台两堤,Entity
214,王村分洪闸,Entity
215,王村至崔家房两堤,Entity
216,王营盘,Entity
217,白庙,Entity
218,白庙至吴村段两堤,Entity
219,白沟引河进水闸,Entity
220,白沟河,Entity
221,白沟河两堤,Entity
222,白洋淀,Entity
223,省大清河河务管理处,Entity
224,省大清河河务管理处实施,Entity
225,省大清河河务管理处负责实施,Entity
226,省政府决定,Entity
227,省水利厅决定,Entity
228,省水利厅同意,Entity
229,省水文局负责巡测,Entity
230,省防指,Entity
231,省防指下达指令,Entity
232,确保,Entity
233,穿运枢纽,Entity
234,穿运枢纽下游,Entity
235,第六埠,Entity
236,老大清河灌溉闸,Entity
237,老河,Entity
238,老站,Entity
239,自然高地,Entity
240,船闸,Entity
241,艾辛庄,Entity
242,艾辛庄枢纽至献县枢纽两堤,Entity
243,艾辛庄节制闸,Entity
244,莲花口至艾辛庄枢纽两堤,Entity
245,莲花口节制闸下,Entity
246,董庄分洪,Entity
247,蓟运河,Entity
248,蔡小庄,Entity
249,行政区划,Entity
250,袁桥闸,Entity
251,贾口洼,Entity
252,赵北口溢流堰,Entity
253,赵王新河,Entity
254,超过时,Entity
255,还乡河,Entity
256,防汛调度临时设置的水位、流量站,Entity
257,陈村,Entity
258,陈村分洪道,Entity
259,雄安新区组织实施,Entity
260,雨洪资源利用,Entity
261,青龙湾减河,Entity
262,高程基准,Entity
263,黄海,Entity
264,龙王庙,Entity
