:ID,name
1,10
2,1036 立方米每秒
3,108.4 公里
4,12.88 亿立方米
5,1200 立方米每秒
6,1380 立方米每秒
7,14.70 米
8,15.36 米
9,1500 立方米每秒
10,16.50 米
11,1840 立方米每秒
12,19.10 米
13,19.70 米
14,20 年一遇
15,2020 年大清河系洪水调度方案
16,203公里
17,20年一遇
18,21054平方公里
19,23.3 公里
20,23.8 公里
21,24.80 米
22,25 孔闸
23,2500 立方米每秒
24,2700 立方米每秒
25,28.0 公里
26,28.20 米
27,28.6 公里
28,3000
29,3500 立方米每秒
30,379 平方公里
31,3964 立方米每秒
32,4 孔闸
33,400 立方米每秒
34,460 立方米每秒
35,47.65
36,4820平方公里
37,5.94 米
38,5000 立方米每秒
39,55公里
40,6.44 米
41,6.50 米
42,7.50 米
43,700 立方米每秒
44,8.29 米
45,8.88 米
46,8.90 米
47,81.4 公里
48,9.00 米
49,w15d
50,w30d
51,w6d
52,东淀
53,东淀北大堤
54,东淀调度运用
55,东绪口
56,东茨村
57,两堤
58,中低水
59,中小洪水
60,中高水
61,习惯高程
62,京九铁路
63,京广铁路
64,京广铁路桥
65,京沪铁路
66,京港澳高速
67,任庄子堤捻
68,保定
69,保证堤段
70,元村
71,八堡站
72,兰沟洼
73,其他工程
74,军城
75,刁窝套
76,分洪
77,分洪闸
78,北京市
79,北拒马河
80,北拒马河两岸
81,北支
82,北支洪水
83,北河店
84,北郭村
85,千里堤
86,华北油田
87,南拒马河
88,南拒马河北河店
89,南水北调中线总干渠
90,南陶
91,卫河
92,卫运河
93,古城小捻
94,台头镇东
95,右堤
96,呈各庄
97,周边湿地
98,四门堤
99,国家 85 高程
100,国家防汛抗旱总指挥部
101,堤防
102,大型水库
103,大广高速
104,大浪淀水库
105,大清河
106,大清河上下两段
107,大清河以北区域
108,大清河北支
109,大清河南支
110,大清河左、右堤捻
111,大清河水系
112,大清河洪水
113,大清河流域
114,大清河系
115,大清河系北支防洪工程
116,大规模治理
117,天津
118,天津市区
119,太平庄闸
120,子牙河左堤
121,安全
122,安国市伍仁桥至雄县十二孔闸
123,安国市明官店至高阳县西留果庄
124,定州市
125,导洪
126,小清河
127,小清河分洪区
128,岸墙式水闸
129,左堤
130,左堤及穿漳以上右堤
131,店子干渠
132,廊坊市
133,廊坊市防指
134,廊坊防指
135,开敞式
136,引水
137,张坊
138,护麦捻
139,拒马河
140,指令
141,控制洪水
142,文安洼
143,文毕干渠
144,新乐市
145,新唐河
146,新安北堤
147,新盖房分洪道
148,新盖房枢纽
149,新盖房溢流堰
150,朔黄铁路
151,本河系洪水调度方案
152,枣林庄枢纽
153,枣林庄泄量
154,枣林庄闸下
155,横山岭水库
156,水位
157,水位站
158,水库
159,永定河
160,沙河
161,沙河右堤
162,沙河左堤
163,沧州市防指
164,河北省
165,河道
166,河道现状行洪能力
167,河道调度运用
168,泄水
169,泄洪
170,泄洪能力
171,津保高速
172,洪水
173,洼地
174,海河防总
175,淀南新堤
176,清北地区
177,清南地区
178,清南河道
179,溢洪
180,溢流堰
181,滞洪
182,滩里
183,滩里附近
184,漳卫南运河
185,漳河
186,潴龙河
187,潴龙河左堤
188,牛角以上
189,牛角以下
190,牛角洼
191,牛角洼上下游开卡段堤防
192,特征指标
193,王大引水线路
194,王村分洪闸
195,王村闸上
196,白沟引河进水闸
197,白沟河
198,白沟河左堤
199,白沟河泄洪压力
200,白洋淀
201,白洋淀十方院
202,白洋淀周边
203,相关市县
204,省大清河河务管理处
205,省水利厅
206,省防指
207,第六堡
208,缓洪
209,群众转移
210,老大清河灌溉闸
211,自然高地
212,船闸
213,董庄
214,蓄滞洪区
215,蔡小庄
216,蠡县饥村至高阳县南圈头
217,行唐县
218,表 3-1
219,西河左捻
220,西河河道
221,西河闸
222,西河闸上游
223,调度原则
224,调度方案
225,调度运用
226,贾口洼
227,赵北口溢流堰
228,赵王新河
229,赵王新河下口
230,赵王新渠下口
231,较大洪水
232,闸涵
233,防汛调度
234,防洪安全
235,防洪工程
236,防洪工程体系
237,陈村
238,陈村以上
239,陈村以上 3000 立方米每秒
240,陈村以下 1000 立方米每秒
241,陈村以下 2300 立方米每秒
242,陈村分洪道
243,陈村水位
244,隔淀堤
245,障水埝
246,雄安新区防指
247,雨洪资源利用
248,韩村排水闸
249,马武营水库
250,高程基准
251,黑龙港地区
252,龙王庙
